id,name,address,latitude,longitude,free_bikes,empty_slots,total_capacity
5cb627281b82723cd7c40b2d9a36773b,067- Oudaan,Oudaan n° 14,51.21578,4.40314,35,1,36
5ce86c7724471b85eb1c542f3f7c911e,084- Elzenveld,Lange Gasthuisstraat ro n° 3,51.21344,4.40497,18,15,33
5d46f188be4295466ec7ff02b9f1bb01,330 - Meerlenhof,Meerlenhoflaan,51.17234,4.35626,6,30,36
5e0e6138ee09b376285afc0bd51aaa04,013- De Singel 1,Jan van rijswijcklaan aan bedrijf DE SINGEL,51.19388,4.40225,25,11,36
5e452c2fad32d31111a4fdc8e17478d4,234- Deurne Atheneum,Jan Brochovenstraat,51.2222,4.46118,25,9,34
5e99fdf4609a9b8e802338cb573d484f,141- Sint-Anna,Gloriantlaan/Kastanjedreef,51.23525,4.38688,7,28,35
5f07b9d91b23b834d7e818bbc9a892e9,240- Park Groot Schijn,Ruggeveldlaan,51.21757,4.48212,28,7,35
60cad86e79ead03c0b9fa34654619f7b,048- De Keyserlei 2,De Keyserlei,51.2173,4.42015,22,9,31
6117743623f657278e654147472aa23e,257- Hofstade,Hofstadestraat,51.19233,4.44875,5,28,33
621c71eb492fbdb89d11ec2d589bc40c,279- Ieperman,Doornstraat,51.16868,4.39438,8,28,36
633818b891c26a1a080c815a9dc8a59f,217- Joske Vermeulen,Bredabaan,51.24917,4.45468,16,14,30
63c6c42e264d3e80f120e8c6211baa1d,311 - Cockerillhof,Cockerillplaats,51.17455,4.34423,9,26,35
63cbc0a8fad4092cf835b4df9e36e546,055- Zonnebloemstraat,Vredestraat/Zonnebloemstraat,51.19698,4.42823,9,24,33
6439056b4dfacb555c9cbae1546c8c2a,175 - Asiadok,Asiadok-oostkaai / Noorderlaan,51.23518,4.4202,9,27,36
648365195aa1700e3b8066816842e125,113- Helmstraat,Vercammenstraat - Helmstraat,51.21861,4.43862,8,28,36
64ce845b3881bc9bd9b10da5f568fba1,146- Reinaartlaan,Gloriantlaan/Reinaartlaan,51.22778,4.38589,5,27,32
6576bcb7887a0c72e2e6c010c4020f43,219- Districtshuis Merksem,Borrewaterstraat,51.24216,4.44252,8,25,33
661195665ea44edfe9e7564551ccebf3,340 - Dokter Donny,Dokter Donnyplein,51.16813,4.40497,15,20,35
